Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C00,undecided,255,255,255,325,314,1,15.8114,1
C01,undecided,255,255,255,310,362,1,12.083,1
C02,undecided,255,255,255,305,374,1,15.2315,1
C03,undecided,255,255,255,293,352,1,14.8661,1
C04,undecided,255,255,255,338,324,1,11.1803,1
C05,undecided,255,255,255,445,398,1,13.4536,1
C06,undecided,255,255,255,348,428,1,14.1421,1
C07,undecided,255,255,255,351,325,1,15.2971,1
C08,undecided,255,255,255,300,348,1,14.0357,1
C09,undecided,255,255,255,331,356,1,14.7648,1
C10,undecided,255,255,255,289,375,1,13.4164,1
C11,undecided,255,255,255,360,362,1,14.3178,1
C12,undecided,255,255,255,298,324,1,11.1803,1
C13,undecided,255,255,255,182,290,1,10.2956,1
C14,undecided,255,255,255,235,195,1,8.60233,1
C15,undecided,255,255,255,326,173,1,8.544,1
C16,undecided,255,255,255,382,215,1,5.83095,1
C17,undecided,255,255,255,109,171,1,6.40312,1
C18,undecided,255,255,255,249,194,1,9.05539,1
C19,undecided,255,255,255,210,143,1,6.40312,1
C20,undecided,255,255,255,146,102,1,8.24621,1
C21,undecided,255,255,255,240,72,1,6.7082,1
C22,undecided,255,255,255,125,127,1,7.61577,1
C23,undecided,255,255,255,427,158,1,8.544,1
C24,undecided,255,255,255,333,109,1,6.7082,1
C25,undecided,255,255,255,181,56,1,5.83095,1
C26,undecided,255,255,255,128,73,1,8.06226,1
C27,undecided,255,255,255,197,140,1,7.61577,1
C28,undecided,255,255,255,212,45,1,7.07107,1
C29,undecided,255,255,255,398,141,1,7.81025,1
C30,undecided,255,255,255,462,372,1,7.28011,1
C31,undecided,255,255,255,435,380,1,9,1
C32,undecided,255,255,255,317,340,1,13,1
