 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5617977528089888, 0, 0, 0, 0, 0, 0, 0.3840381, 0, 0, 1.286611, 0.9532931, 0, 0.5430778, 0, 0.3525672, 0.08272481, 0, 0, 0, 0, 0, 1.677764, 0, 0, 0, 1.311901, 0, 0, 0, 0, 0, 1.370187, 0.2626296
1.123595505617978, 0, 0, 0, 0, 9.536743e-07, 0, 0.5945674, 2.384186e-07, 0, 1.208583, 1.915384, -1.907349e-06, 1.418926, 0, 1.116707, 0.07906878, 0, 0, -2.980232e-08, 0, 0.7752805, 2.870564, 0, 0, 0, 1.205649, 0, 0, 0, -2.384186e-07, 0, 1.211566, 0.2359295
1.685393258426966, 0, 0, 0, 0, 9.536743e-07, 0, 2.9893, 0, 1.192093e-07, 1.135286, 1.739694, -1.907349e-06, 1.268858, 0, 2.512784, 0.0755744, 1.721044, 0, 0, 2.153874, 0.7415824, 5.22138, 0, 0, 0, 3.001009, 0, 1.256804, 0.5908315, -2.384186e-07, 0, 1.071309, 0.2119437
2.247191011235955, 0, 0, 0, 0, 2.023437, 0, 6.550702, 0, 1.192093e-07, 1.066435, 1.58012, -1.907349e-06, 1.134662, 0, 3.201137, 0.07223439, 1.628693, 0, -2.980232e-08, 2.012206, 1.300927, 5.58285, 0, 0, 0, 2.757956, 0, 1.201935, 0.8048511, -2.384186e-07, 0, 0.9472878, 0.1903966
2.808988764044944, 0, 0, 0, 0, 1.912998, 0, 9.369676, 0, 0, 1.001759, 1.435183, 0.721796, 1.014658, 0, 6.242132, 0.06904209, 1.541297, 0, -2.980232e-08, 1.879857, 1.318162, 5.212486, 0.1851573, 0, 1.317227, 2.534588, 0, 1.149461, 0.7557001, 0, 0, 0.8376245, 0.1710399
3.370786516853932, 0, 0, 0, 0, 2.431931, 0, 8.032837, 0, 0, 0.9410056, 1.314278, 0.6667595, 0.9073462, 0, 10.15607, 0.06599081, 2.102195, 0, -2.980232e-08, 1.756213, 1.260868, 4.866692, 0.1734096, 0, 1.257615, 2.32931, 1.192093e-07, 1.099278, 0.7095505, 0, 0, 0.7406564, 0.1536512
3.932584269662921, 0, 0, 0, 0, 2.361516, 0, 6.886735, 0, -5.960464e-08, 0.8839367, 1.193725, 0.6159172, 0.8113838, 0, 12.23173, 0.06307447, 2.089986, 0, -1.490116e-08, 1.640701, 1.206063, 4.543838, 0.1624074, 0, 1.200701, 2.331132, 1.192093e-07, 1.051286, 0.6662191, 0, 0, 0.6549138, 1.274184
4.49438202247191, 0, 0, 0, 0, 2.895215, 0, 5.936673, 0, -5.960464e-08, 0.8303288, 1.08423, 0.5689526, 0.7255706, 0, 11.6961, 0.06028688, 1.977837, 0, -2.980232e-08, 1.532787, 1.153641, 5.957058, 0.1521031, 0, 1.146363, 2.142333, 0, 1.005389, 0.6255342, 0, 0, 1.363207, 1.144645
5.056179775280899, 0, 0, 0, 0, 5.453937, 0, 5.44564, 2.384186e-07, -1.192093e-07, 0.7799721, 1.494944, 0.5255699, 1.739885, 0, 17.95863, 0.05762267, 1.871706, 0, -2.980232e-08, 1.43197, 1.103498, 6.388432, 0.9751686, 0, 1.094484, 2.844872, -1.192093e-07, 0.9614963, 0.5873337, -2.384186e-07, 0, 1.886254, 1.028275
5.617977528089888, 0, 0, 0, 0, 5.156261, 0, 4.668672, 0, -1.192093e-07, 0.7326694, 1.35782, 0.4854937, 1.555872, 0, 17.34733, 0.05507588, 1.77127, 0, -1.490116e-08, 1.337785, 1.055534, 7.433841, 1.381421, 0, 1.044952, 3.059462, 1.082529, 0.9195195, 0.5514661, -2.384186e-07, 0, 3.764675, 0.9237356
6.179775280898877, 0, 0, 0, 0, 4.874835, 0, 4.002559, 0, -5.960464e-08, 0.6882354, 1.233273, 0.448473, 1.39132, 0, 16.71039, 0.05264187, 1.676224, 0, -1.490116e-08, 1.249795, 1.734186, 7.130907, 1.293774, 0, 0.9976623, 2.811674, 1.032377, 0.8793755, 0.5177889, -2.384186e-07, 0, 3.504831, 0.8298243
6.741573033707865, 0, 0, 0, 0, 4.608768, 0, 3.431486, -1.192093e-07, -5.960464e-08, 0.6464962, 1.120151, 0.4142761, 1.244172, 0, 18.78806, 0.1837641, 1.586277, 0, -2.980232e-08, 1.685472, 1.658809, 6.657847, 1.211688, 0, 0.9525126, 2.583956, 0.984548, 0.8409839, 0.4861683, -1.192093e-07, 0, 3.099092, 0.7454605
7.303370786516854, 0, 0, 0, 0, 7.728742, 0, 2.941891, 0, 0.2107517, 0.6072883, 1.017404, 0.3826857, 1.474848, 0, 18.10058, 0.1756428, 1.501158, 0, -1.490116e-08, 1.574613, 1.586708, 6.216168, 1.134811, 0, 0.9094061, 2.37468, 0.9389352, 0.8042685, 0.4564786, -1.192093e-07, 0, 3.977253, 0.6696736
7.865168539325842, 0, 0, 0, 0, 7.544242, 0, 2.522151, 0, 0.1971592, 0.5704582, 0.9240826, 0.3535042, 1.318865, 0, 26.94816, 0.2574943, 1.420605, 0, 0.8147449, 1.471046, 1.517741, 6.068616, 1.062811, 0, 0.8682504, 2.182353, 0.8954356, 0.7691559, 0.428602, -1.192093e-07, 0, 3.516823, 0.9942479
8.426966292134832, 0, 0, 0, 0, 7.132479, 0, 2.162297, 0, 0.3508719, 0.5358618, 0.8393208, 0.3265495, 1.17938, 0, 26.25105, 0.2461144, 1.344375, 0, 0.7572906, 1.374291, 1.451771, 5.679013, 0.9953788, 0, 0.8289573, 2.196626, 0.8539513, 0.7355763, 0.4024278, -2.384186e-07, 0, 3.109696, 1.720477
8.988764044943821, 0, 0, 0, 0, 7.255223, 0, 1.853787, 1.192093e-07, 0.5756149, 0.5033635, 0.7623339, 0.3016491, 1.054647, 0, 27.70423, 0.2352374, 1.272236, 0, 0.7038879, 1.283899, 1.38867, 5.30227, 0.9322252, 0, 0.7914423, 2.01872, 0.8240556, 0.7034628, 0.3778522, -2.384186e-07, 0, 2.7497, 1.545565
9.55056179775281, 0, 0, 0, 0, 7.847123, 0, 1.589294, 0, 0.5384905, 0.4728362, 0.6924085, 1.765219, 0.9431059, 0, 26.49105, 0.2248412, 1.203968, 0, 0.654251, 1.199453, 1.328311, 8.858864, 0.8730786, 0, 0.7556252, 1.855223, 0.7858782, 0.6727512, 0.4361002, 1.46382, 0, 2.43138, 1.388436
10.1123595505618, 0, 0, 0, 0, 10.75476, 0, 1.362538, 0, 0.5037605, 0.4441602, 0.6288971, 1.630616, 0.8433616, 0, 30.27344, 0.2149044, 1.139363, 0, 0.6081144, 1.120561, 1.270575, 8.271173, 0.8176846, 0, 0.721429, 3.568216, 2.017001, 0.6433804, 0.4094682, 1.387163, 0, 2.253885, 1.247281
